,goto,lats,lons,severity,time
2241,True,53.79644434865524,-1.5343079525513537,3,17028
2242,False,53.79644434865524,-1.5343079525513537,3,17028
2252,False,53.79711142223742,-1.596924631666177,2,17029
2253,False,53.79711142223742,-1.596924631666177,2,17029
2244,True,53.80901419211726,-1.4543362490053708,3,17065
2245,True,53.80058568537481,-1.5574918682332803,2,17072
2246,True,53.76872823431055,-1.5304879493199735,2,17073
2247,True,53.90238223400109,-1.3614973905901524,2,17075
2248,True,53.80629047863359,-1.5353985151323812,2,17077
2251,True,53.785306674801106,-1.6094679241979037,4,17103
2255,False,53.87223492023547,-1.713508112478778,4,17117
2254,True,53.87223492023547,-1.713508112478778,4,17117
2256,True,53.90471214068244,-1.6968632183476249,3,17119
2257,True,53.79657258334267,-1.5917377630391867,3,17121
2258,True,53.81594091328751,-1.6021967238024308,4,17122
2259,True,53.80984083905766,-1.3563434725960621,2,17123
2260,True,53.844678325618446,-1.3430119159446092,3,17124
2261,False,53.844678325618446,-1.3430119159446092,3,17124
2262,False,53.844678325618446,-1.3430119159446092,3,17124
2250,False,53.85850622495338,-1.6900968347095737,2,17125
2264,False,53.80954289676637,-1.5258864435619681,3,17125
2265,False,53.80954289676637,-1.5258864435619681,3,17125
2249,False,53.85850622495338,-1.6900968347095737,2,17125
2263,True,53.797134102474686,-1.5903507888663135,3,17125
2266,True,53.844911103333075,-1.514741521177852,3,17127
2267,False,53.844911103333075,-1.514741521177852,3,17127
2268,False,53.844911103333075,-1.514741521177852,3,17127
2269,True,53.81065391847003,-1.6267425035855567,3,17133
2270,True,53.74900641830794,-1.6359930126515771,3,17169
2271,False,53.74900641830794,-1.6359930126515771,3,17169
2273,False,53.82909970449007,-1.521077419154609,3,17173
2272,True,53.85970123387024,-1.6796731513863916,3,17175
2274,True,53.75105105601067,-1.5380551567488425,3,17206
2276,False,53.84112566848361,-1.3409398354437734,3,17208
2279,False,53.72820848200148,-1.4718428820616511,5,17208
2275,False,53.84112566848361,-1.3409398354437734,2,17208
2277,True,53.72820848200148,-1.4718428820616511,5,17208
2278,False,53.72820848200148,-1.4718428820616511,4,17208
2280,True,53.81524134348561,-1.4461448931806125,3,17220
2281,True,53.707461704594955,-1.5604080609085622,3,17246
2282,False,53.707461704594955,-1.5604080609085622,3,17246
2283,True,53.906784554286574,-1.5261260395529934,3,17253
2284,False,53.906784554286574,-1.5261260395529934,3,17253
2285,True,53.72790276253267,-1.5810505430821498,3,17265
2286,False,53.72790276253267,-1.5810505430821498,3,17265
2287,False,53.72790276253267,-1.5810505430821498,3,17265
2288,True,53.89302770583887,-1.4354701756145882,3,17268
2289,False,53.747605794980046,-1.6516388807544689,3,17268
2290,False,53.747605794980046,-1.6516388807544689,2,17268
2291,True,53.880890343696755,-1.6491636594490735,3,17307
2292,True,53.771003517322384,-1.549579528951142,3,17309
2294,False,53.76527240585258,-1.560153718633601,3,17321
2293,True,53.76527240585258,-1.560153718633601,3,17321
2295,True,53.80356152185123,-1.5362789677749056,2,17327
2296,True,53.846549253974,-1.549955014078614,3,17352
